Title,Price,Rating,Number of Reviews,Product URL,Image URL,Brand
Asus ASUS Vivobook Go 15 E1504FA-NJ005W - AMD Ryzen 5 7520U Processor 2.8GHz - 8GB - 512 SSD - 15.6 Inch - Windows 11,"EGP 19,599.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=AS040CL33QT8JNAFAMZ-213561834&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/6883231/1.jpg?7599,Asus
DELL Inspiron 3520 Laptop Core I3 1215U 8GB RAM 512GB SSD Intel UHD Graphics 15.6 FHD DOS,"EGP 15,777.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=DE014CL27T217NAFAMZ-213526199&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0453231/1.jpg?0863,DELL
"DELL Vostro 3520 Intel® Core™ i3-1215U , 8GB RAM , 512GB SSD , intel UHD , 15.6""FHD - Black","EGP 17,260.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=DE014CL2KJQGYNAFAMZ-203175368&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/4454421/1.jpg?6103,DELL
"Acer Aspire 3 A315-59-31LZ (12th Gen Intel® Core™ i3-1215U - Ram 8GB - 512GB SSD - Intel UHD Graphics - 15.6"" FHD Comfy View- DOS -Silver)","EGP 17,499.00",,5 out of 5(1),https://www.jumia.com.eg/customer/account/login/?tkWl=AC008CL1REBNRNAFAMZ-211153093&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/4841031/1.jpg?0805,Acer
"Lenovo IdeaPad 1 15IAU7 Laptop Intel® Core™ I3-1215U, 8GB Ram, 256GB SSD, Integrated Intel® UHD, 15.6"" HD, 82QD00HHED -","EGP 17,360.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=LE018CL37OB2BNAFAMZ-214207761&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/2899231/1.jpg?0891,Lenovo
"Asus Vivobook Go 15 - 15"" FHD - AMD Ryzen 3 7320U Processor 2.4GHz - 4GB/256GB SSD - AMD Radeon Graphics - FreeDOS - Green Grey","EGP 11,149.00",,3 out of 5(2),https://www.jumia.com.eg/customer/account/login/?tkWl=AS040CL23VKL0NAFAMZ-198781335&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/4442121/1.jpg?0236,Asus
"HP Elite Book 845 G7, AMD Ryzen 5 Pro 4650U, 14"" Inch, 16GB Ram, 256GB SSD, AMD Radeon Vega 8 Graphics (2GB), Windows 11 - Silver + Bag","EGP 10,999.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=HP431CL1W7NYLNAFAMZ-214763701&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/5715331/1.jpg?3627,HP
Lenovo Laptop N100  - 4G - 128Gb -Uhd - 11.5 Inch 2K -Abyss Blue 82Xk0032Ed,"EGP 21,130.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=LE018CL2GV5FGNAFAMZ-182650085&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/2595801/1.jpg?5287,Lenovo
Asus ASUS Vivobook Go 15 E1504FA-NJ003W -  AMD Ryzen™ 3 7320U Processor 2.8GHz - 4GB - 256 SSD - 15.6 Inch - Windows 11,"EGP 14,299.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=AS040CL2XSH6RNAFAMZ-213561833&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/6883231/1.jpg?7033,Asus
"Lenovo Laptop N4020 - 8G - 256Gb Ssd - Uhd-15.6"" Hd -Abyss Blue- 82V700Jwed-Ideapad 1","EGP 11,510.00",,3.5 out of 5(6),https://www.jumia.com.eg/customer/account/login/?tkWl=LE018CL28U0H8NAFAMZ-182651708&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/7695801/1.jpg?8106,Lenovo
Laptop Table With Mobile Holder And Cup Holder,EGP 309.00,,,https://www.jumia.com.eg/customer/account/login/?tkWl=GE810CL1T0NAFNAFAMZ-213420255&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/2052231/1.jpg?1434,Laptop
"HP FB1004NE Victus 15"" Gaming Laptop – AMD Ryzen 5, 16GB RAM, 512GB SSD, RTX 2050, FHD, Win 11 – Mica Silver","EGP 30,999.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=HP431CL2CGF3FNAFAMZ-212002498&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/8538031/1.jpg?6611,HP
Lenovo IdeaPad Slim 3 15IRH8 ( Core I5-13420H-16G Ram DDR5-4800-512GB NVMe-Integrated Intel UHD Graphics-15.6 FHD- Arctic Grey )  Lenovo 15.6 Laptop Casual Toploader+ 2Yr Warranty,"EGP 24,900.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=LE018CL318622NAFAMZ-202961521&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/4592421/1.jpg?1185,Lenovo
"Lenovo IdeaPad Slim 3 Laptop, AMD Ryzen™ 5 7520U, 16GB, 512GB SSD, AMD Radeon™ 610M, 15.6"" FHD, 82XQ00NWED - Arctic Grey","EGP 22,490.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=LE018CL2C8ELVNAFAMZ-214204877&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/4799231/1.jpg?0952,Lenovo
"HP Elite Book 845 G7, AMD Ryzen 5 Pro 4650U, 14"" Inch 16GB Ram, 256GB SSD, AMD Radeon Vega 8 Graphics (2GB), Windows 11 - Silver","EGP 11,025.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=HP431CL2VXO99NAFAMZ-214763707&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/5715331/1.jpg?7838,HP
"Asus Vivobook Go 15 E1504FA-NJ001 AMD Ryzen™ 3 7320U , 4GBRAM , 256GB - AMD Radeon™ , 15.6'' FHD - Green Grey","EGP 11,510.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=AS040CL3A8PJCNAFAMZ-201142689&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/6010321/1.jpg?9509,Asus
"Asus Vivobook Go 15 Laptop Intel® Celeron® N4500, 8GB Ram, 256GB SSD, Intel® HD, 15.6"" HD, Win11, E510KA-BR83W - Star Black","EGP 11,510.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=AS040CL2MTHQRNAFAMZ-214202353&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/2599231/1.jpg?1005,Asus
Lenovo Laptop Lenovo IdeaPad D330-10IGM 2 In 1 Laptops,"EGP 9,999.00",,,https://www.jumia.com.eg/customer/account/login/?tkWl=LE018CL1R1IEHNAFAMZ-212379374&return=%2Flaptops%2F%3Fpage%3D1,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/8863131/1.jpg?0473,Lenovo
